tipo,N,threads,resultado,referencia,erro_relativo,tempo_s,rep
integral,10000000,8,0.7468847828,0.7468241328,8.121053e-05,0.023448,3
pi,10000000,8,3.1409824000,3.1415926536,1.942498e-04,0.021528,4
integral,10000000,8,0.7468847828,0.7468241328,8.121053e-05,0.023236,4
pi,10000000,8,3.1409824000,3.1415926536,1.942498e-04,0.021471,5
integral,10000000,8,0.7468847828,0.7468241328,8.121053e-05,0.023283,5
pi,10000000,10,3.1418988000,3.1415926536,9.744943e-05,0.017865,1
integral,10000000,10,0.7468226687,0.7468241328,1.960511e-06,0.019147,1
pi,10000000,10,3.1418988000,3.1415926536,9.744943e-05,0.017964,2
integral,10000000,10,0.7468226687,0.7468241328,1.960511e-06,0.019174,2
pi,10000000,10,3.1418988000,3.1415926536,9.744943e-05,0.018058,3
integral,10000000,10,0.7468226687,0.7468241328,1.960511e-06,0.019396,3
pi,10000000,10,3.1418988000,3.1415926536,9.744943e-05,0.017828,4
integral,10000000,10,0.7468226687,0.7468241328,1.960511e-06,0.019163,4
pi,10000000,10,3.1418988000,3.1415926536,9.744943e-05,0.017658,5
integral,10000000,10,0.7468226687,0.7468241328,1.960511e-06,0.019165,5
pi,10000000,20,3.1418768000,3.1415926536,9.044661e-05,0.009616,1
integral,10000000,20,0.7468176643,0.7468241328,8.661374e-06,0.009656,1
pi,10000000,20,3.1418768000,3.1415926536,9.044661e-05,0.009452,2
integral,10000000,20,0.7468176643,0.7468241328,8.661374e-06,0.009715,2
pi,10000000,20,3.1418768000,3.1415926536,9.044661e-05,0.009531,3
integral,10000000,20,0.7468176643,0.7468241328,8.661374e-06,0.010598,3
pi,10000000,20,3.1418768000,3.1415926536,9.044661e-05,0.009462,4
integral,10000000,20,0.7468176643,0.7468241328,8.661374e-06,0.009693,4
pi,10000000,20,3.1418768000,3.1415926536,9.044661e-05,0.009403,5
integral,10000000,20,0.7468176643,0.7468241328,8.661374e-06,0.009714,5
pi,10000000,40,3.1423048000,3.1415926536,2.266832e-04,0.009911,1
integral,10000000,40,0.7467959483,0.7468241328,3.773917e-05,0.008759,1
pi,10000000,40,3.1423048000,3.1415926536,2.266832e-04,0.009770,2
integral,10000000,40,0.7467959483,0.7468241328,3.773917e-05,0.008874,2
pi,10000000,40,3.1423048000,3.1415926536,2.266832e-04,0.010061,3
integral,10000000,40,0.7467959483,0.7468241328,3.773917e-05,0.008875,3
pi,10000000,40,3.1423048000,3.1415926536,2.266832e-04,0.009837,4
integral,10000000,40,0.7467959483,0.7468241328,3.773917e-05,0.008559,4
pi,10000000,40,3.1423048000,3.1415926536,2.266832e-04,0.009822,5
integral,10000000,40,0.7467959483,0.7468241328,3.773917e-05,0.008817,5
pi,50000000,1,3.1413824000,3.1415926536,6.692580e-05,0.767340,1
integral,50000000,1,0.7468262806,0.7468241328,2.875865e-06,0.838165,1
pi,50000000,1,3.1413824000,3.1415926536,6.692580e-05,0.749807,2
integral,50000000,1,0.7468262806,0.7468241328,2.875865e-06,0.833517,2
pi,50000000,1,3.1413824000,3.1415926536,6.692580e-05,0.752117,3
integral,50000000,1,0.7468262806,0.7468241328,2.875865e-06,0.829576,3
pi,50000000,1,3.1413824000,3.1415926536,6.692580e-05,0.751868,4
integral,50000000,1,0.7468262806,0.7468241328,2.875865e-06,0.829889,4
pi,50000000,1,3.1413824000,3.1415926536,6.692580e-05,0.739743,5
integral,50000000,1,0.7468262806,0.7468241328,2.875865e-06,0.829760,5
pi,50000000,2,3.1412970400,3.1415926536,9.409673e-05,0.377956,1
integral,50000000,2,0.7468372905,0.7468241328,1.761819e-05,0.415982,1
pi,50000000,2,3.1412970400,3.1415926536,9.409673e-05,0.379036,2
integral,50000000,2,0.7468372905,0.7468241328,1.761819e-05,0.415538,2
pi,50000000,2,3.1412970400,3.1415926536,9.409673e-05,0.378616,3
integral,50000000,2,0.7468372905,0.7468241328,1.761819e-05,0.458811,3
pi,50000000,2,3.1412970400,3.1415926536,9.409673e-05,0.377764,4
integral,50000000,2,0.7468372905,0.7468241328,1.761819e-05,0.415915,4
pi,50000000,2,3.1412970400,3.1415926536,9.409673e-05,0.413446,5
integral,50000000,2,0.7468372905,0.7468241328,1.761819e-05,0.438505,5
pi,50000000,4,3.1413284800,3.1415926536,8.408907e-05,0.191626,1
integral,50000000,4,0.7467701996,0.7468241328,7.221672e-05,0.209906,1
pi,50000000,4,3.1413284800,3.1415926536,8.408907e-05,0.190631,2
integral,50000000,4,0.7467701996,0.7468241328,7.221672e-05,0.209629,2
pi,50000000,4,3.1413284800,3.1415926536,8.408907e-05,0.201923,3
integral,50000000,4,0.7467701996,0.7468241328,7.221672e-05,0.210384,3
pi,50000000,4,3.1413284800,3.1415926536,8.408907e-05,0.191828,4
